feature_family,lead_a,lead_b,graph_component
rs_diff,V1,V2,precordial_chain
rs_diff,V2,V3,precordial_chain
rs_diff,V3,V4,precordial_chain
rs_diff,V4,V5,precordial_chain
rs_diff,V5,V6,precordial_chain
rs_diff,aVR,aVL,frontal_angular_cycle
rs_diff,aVL,I,frontal_angular_cycle
rs_diff,I,II,frontal_angular_cycle
rs_diff,II,aVF,frontal_angular_cycle
rs_diff,aVF,III,frontal_angular_cycle
rs_diff,III,aVR,frontal_angular_cycle
rs_diff_2,V1,V2,precordial_chain
rs_diff_2,V2,V3,precordial_chain
rs_diff_2,V3,V4,precordial_chain
rs_diff_2,V4,V5,precordial_chain
rs_diff_2,V5,V6,precordial_chain
rs_diff_2,aVR,aVL,frontal_angular_cycle
rs_diff_2,aVL,I,frontal_angular_cycle
rs_diff_2,I,II,frontal_angular_cycle
rs_diff_2,II,aVF,frontal_angular_cycle
rs_diff_2,aVF,III,frontal_angular_cycle
rs_diff_2,III,aVR,frontal_angular_cycle
